order_id,order_date,customer_id,region,channel,category,unit_price,quantity,discount,revenue,returned,delivery_days
ORD-00001,2025-07-06,CUST-0175,West,Web,Outdoors,71.19,1,0.00,71.19,0,3
ORD-00002,2025-11-03,CUST-0829,Midwest,Mobile,Home,36.97,3,0.05,105.36,0,2
ORD-00003,2025-07-06,CUST-0334,South,Mobile,Beauty,20.23,4,0.05,76.86,0,5
ORD-00004,2025-02-09,CUST-0752,West,Mobile,Electronics,130.03,1,0.00,130.03,0,3
ORD-00005,2025-06-20,CUST-0136,West,Mobile,Electronics,133.50,4,0.15,453.90,0,6
ORD-00006,2025-12-01,CUST-0678,Midwest,Mobile,Beauty,18.33,3,0.15,46.73,0,2
ORD-00007,2025-05-20,CUST-0658,Northeast,Web,Home,50.97,1,0.15,43.33,0,6
ORD-00008,2025-05-26,CUST-0591,Midwest,Mobile,Home,71.55,1,0.15,60.82,1,6
ORD-00009,2025-11-10,CUST-0151,Northeast,Mobile,Beauty,30.45,2,0.20,48.73,0,5
ORD-00010,2025-01-10,CUST-0497,Midwest,Web,Electronics,69.57,2,0.00,139.14,0,6
ORD-00011,2025-10-01,CUST-0802,Northeast,Web,Apparel,40.05,2,0.05,76.09,0,8
ORD-00012,2025-07-10,CUST-0802,West,Mobile,Outdoors,115.66,2,0.20,185.05,1,5
ORD-00013,2025-11-18,CUST-0455,West,Mobile,Outdoors,66.74,1,0.20,53.39,0,3
ORD-00014,2025-05-11,CUST-0100,Northeast,Web,Electronics,131.45,5,0.10,591.55,0,7
ORD-00015,2025-07-28,CUST-0548,South,Web,Apparel,56.28,1,0.30,39.40,1,5
ORD-00016,2025-04-16,CUST-0537,West,Web,Electronics,137.58,2,0.00,275.16,0,2
ORD-00017,2025-06-05,CUST-0616,Northeast,Store,Electronics,175.55,2,0.00,351.09,0,6
ORD-00018,2025-08-05,CUST-0887,South,Mobile,Home,55.11,3,0.20,132.27,0,1
ORD-00019,2025-08-31,CUST-0516,Northeast,Web,Home,48.26,1,0.00,48.26,0,6
ORD-00020,2025-05-31,CUST-0036,Midwest,Mobile,Apparel,41.91,4,0.20,134.13,0,4
ORD-00021,2025-06-19,CUST-0416,South,Web,Electronics,141.62,1,0.15,120.37,0,7
ORD-00022,2025-05-23,CUST-0409,Midwest,Web,Home,64.84,1,0.10,58.36,0,8
ORD-00023,2025-05-19,CUST-0089,South,Mobile,Electronics,137.70,1,0.00,137.70,0,6
ORD-00024,2025-11-01,CUST-0704,Midwest,Mobile,Beauty,30.02,1,0.20,24.01,0,5
ORD-00025,2025-02-24,CUST-0502,Midwest,Store,Home,69.60,1,0.20,55.68,0,2
ORD-00026,2025-03-28,CUST-0056,Northeast,Web,Beauty,26.50,1,0.15,22.53,0,3
ORD-00027,2025-09-15,CUST-0549,Midwest,Mobile,Home,57.75,1,0.10,51.97,0,5
ORD-00028,2025-01-15,CUST-0269,Midwest,Web,Home,34.80,3,0.15,88.73,0,2
ORD-00029,2025-06-05,CUST-0162,West,Mobile,Home,50.59,2,0.10,91.06,0,9
ORD-00030,2025-08-07,CUST-0301,West,Store,Outdoors,62.72,1,0.10,56.45,0,2
ORD-00031,2025-05-19,CUST-0078,South,Mobile,Beauty,33.45,2,0.10,60.21,0,4
ORD-00032,2025-08-30,CUST-0861,Midwest,Web,Home,59.45,1,0.10,53.51,0,4
ORD-00033,2025-05-17,CUST-0290,South,Web,Home,69.56,1,0.20,55.65,0,4
ORD-00034,2025-12-13,CUST-0092,Northeast,Store,Home,70.79,1,0.20,56.64,0,1
ORD-00035,2025-11-13,CUST-0894,Midwest,Store,Outdoors,86.62,1,0.05,82.29,0,1
ORD-00036,2025-10-01,CUST-0860,West,Web,Beauty,20.14,2,0.00,40.27,0,6
ORD-00037,2025-04-28,CUST-0113,West,Web,Apparel,41.58,2,0.20,66.52,0,8
ORD-00038,2025-11-23,CUST-0546,Midwest,Web,Electronics,103.79,4,0.15,352.90,0,5
ORD-00039,2025-02-19,CUST-0569,West,Web,Apparel,53.71,1,0.15,45.65,0,3
